topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12
0.047698133,0.0038923924,0.0048376494,0.0061015845,0.007725128,0.012637401,0.24430434,0.048419617,0.007981496,0.013050057,0.59767985,0.00567237
0.07229876,0.0022289644,0.002770262,0.0034940501,0.0044237664,0.007236761,0.22986917,0.0052350205,0.65684724,0.0074730674,0.0048746956,0.003248262
0.051764525,0.0042242296,0.005250072,0.0066217612,0.008383716,0.013714774,0.052000165,0.009921167,0.81856275,0.014162609,0.009238296,0.006155955
0.048070513,0.022221185,0.47608188,0.03483319,0.044101793,0.07214535,0.049310062,0.05218942,0.04556537,0.07450115,0.048597235,0.032382853
0.09746478,0.007953586,0.009885092,0.012467776,0.015785271,0.025822846,0.017649457,0.018680058,0.016309125,0.66873795,0.0976533,0.011590733
0.009138167,0.0042242296,0.005250072,0.0066217612,0.17888914,0.14159384,0.052000165,0.009921167,0.2644201,0.014162609,0.3076228,0.006155955
0.4111675,0.0017552178,0.055316746,0.0027514207,0.003483534,0.005698652,0.0038949272,0.021834122,0.0035991396,0.16529056,0.3226503,0.0025578726
0.24137798,0.0056758826,0.0070542553,0.12344707,0.011264774,0.018427845,0.012595105,0.013330569,0.01163861,0.01902958,0.41333714,0.12282119
0.009545037,0.00441231,0.0054838276,0.0069165905,0.008756995,0.014325414,0.054315433,0.0103629,0.009047607,0.10384172,0.76656216,0.0064300443
0.03926585,0.01815112,0.02255907,0.21161456,0.036024045,0.24209258,0.04027836,0.04263033,0.03721955,0.06085541,0.22285756,0.026451563
0.003605441,0.0016666594,0.002071403,0.0026125996,0.18830714,0.03904738,0.07097091,0.003914372,0.121144414,0.022405948,0.54182494,0.0024288169
0.009138167,0.0042242296,0.005250072,0.0066217612,0.008383716,0.013714774,0.009373804,0.009921167,0.008661941,0.014162609,0.9043918,0.006155955
0.038601123,0.0031500338,0.13106196,0.004937888,0.006251788,0.042013925,0.03877684,0.03918501,0.006459262,0.07413462,0.61083704,0.004590533
0.03926585,0.2013126,0.388882,0.02845309,0.036024045,0.058931097,0.04027836,0.04263033,0.03721955,0.06085541,0.039696094,0.026451563
0.2771743,0.0024493283,0.027760115,0.0038394856,0.004861117,0.08210014,0.005435198,0.22819634,0.07917036,0.03292786,0.25251636,0.0035693976
0.11610109,0.009474397,0.20298597,0.110457115,0.018803583,0.03076045,0.021024222,0.21346264,0.019427605,0.22297564,0.020720296,0.013807005
0.054906037,0.15777737,0.0005536506,0.12206862,0.07280727,0.15877819,0.081902064,0.0010462448,0.00091345195,0.019474318,0.077392586,0.25238022
0.048070513,0.022221185,0.2518497,0.25906536,0.044101793,0.07214535,0.049310062,0.05218942,0.04556537,0.07450115,0.048597235,0.032382853
0.022662362,0.75046,0.013020011,0.016421758,0.020791348,0.0340122,0.023246735,0.024604177,0.021481337,0.03512282,0.022910679,0.015266572
0.0012576483,0.07097925,0.08285342,0.00091132586,0.007020307,0.02535347,0.042355515,0.11869523,0.048124034,0.26594123,0.018870901,0.3176377
0.008420312,0.04317021,0.0048376494,0.2417685,0.08628076,0.051915217,0.0086374385,0.009141804,0.007981496,0.013050057,0.008512576,0.516284
0.0022457477,0.0010381243,0.032717116,0.0016273292,0.23252419,0.2757368,0.0023036567,0.012913802,0.054506857,0.1396637,0.002270355,0.24245232
